CAUSE_CD,CAUSE_LONG_DESC,CAUSE_MED_DESC,CAUSE_SHORT_DESC,CAUSE_CRASH_VALID_FLG,CAUSE_PARTIC_VALID_FLG,CAUSE_VHCL_VALID_FLG,CAUSE_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID
0,No cause associated at this level,NO CODE APPLICABLE,NO CODE,1,1,1,,2007-07-19T12:37:28.263,isco017
1,Too fast for conditions (not exceed posted speed),TOO FAST FOR COND,TOO-FAST,1,1,0,,2006-05-19T11:16:30.843,isd849
2,Did not yield right-of-way,FAILED YIELD ROW,NO-YIELD,1,1,0,,2002-03-20T00:00:00,CONVERT
3,Passed stop sign or red flasher,PASSED STOP SIGN,PAS-STOP,1,1,0,,2002-03-20T00:00:00,CONVERT
4,Disregarded traffic signal,DISREGRD TRAF SIGNAL,DIS SIG,1,1,0,,2014-08-19T12:47:05.963,Hwye85p
5,Drove left of center on two-way road; straddling,LEFT OF CTR/STRADDLE,LEFT-CTR,1,1,0,,2014-08-19T12:31:23.057,Hwye85p
6,Improper overtaking,IMPROPER PASSING,IMP-OVER,1,1,0,,2002-03-20T00:00:00,CONVERT
7,Followed too closely,FOLLOW TOO CLOSE,TOO-CLOS,1,1,0,,2002-03-20T00:00:00,CONVERT
8,Made improper turn,IMPROPER TURN,IMP-TURN,1,1,0,,2002-03-20T00:00:00,CONVERT
9,Alcohol or Drug Involved,ALC OR DRUGS,DRINKING,1,1,0,2002-12-31T00:00:00,2019-03-13T17:44:49.617,Hwye85p
10,Other improper driving,OTHER DRIVE ERR,OTHR-IMP,1,1,0,,2002-03-20T00:00:00,CONVERT
11,Mechanical defect,MECH DEFECT,MECH-DEF,1,0,1,,2002-03-20T00:00:00,CONVERT
12,Other (not improper driving),OTHER,OTHER,1,1,0,,2002-03-20T00:00:00,CONVERT
13,Improper change of traffic lanes,IMP LANE CHANGE,IMP LN C,1,1,0,,2004-05-21T09:00:50.673,isd849
14,Disregarded other traffic control device,DISRG OTHR TCD,DIS TCD,1,1,0,,2006-05-19T11:17:59.777,isd849
15,Wrong way on one-way road; wrong side divided road,WRONG WAY / 1-WAY RD,WRNG WAY,1,1,0,,2014-08-19T15:13:42.113,Hwye85p
16,Driver drowsy/fatigued/sleepy,DRIVER FATIGUED,FATIGUE,1,1,0,,2006-05-19T11:19:19.183,isd849
17,Physical illness,PHYSICAL ILLNESS,ILLNESS,1,1,0,,2014-08-19T15:09:51,hwye85p
18,Non-motorist illegally in roadway,ILLEGALLY IN RDWY,IN RDWY,1,1,0,,2006-05-19T11:19:51.180,isd849
19,Non-motorist not visible; non-reflective clothing,NOT VISIBLE,NT VISBL,1,1,0,,2016-10-20T14:16:35.627,Hwye85p
20,Vehicle improperly parked,IMPROPER PARKING,IMP PKNG,1,0,1,,2002-03-20T00:00:00,CONVERT
21,Defective steering mechanism,DEFECTIVE STEERING,DEF STER,1,0,1,,2002-03-20T00:00:00,CONVERT
22,Inadequate or no brakes,DEFECTIVE BRAKES,DEF BRKE,1,0,1,,2002-03-20T00:00:00,CONVERT
24,Vehicle lost load or load shifted,LOAD SHIFTED,LOADSHFT,1,0,1,,2004-05-21T09:02:21.123,isd849
25,Tire Failure,TIRE FAILURE,TIREFAIL,1,0,1,,2002-03-20T00:00:00,CONVERT
26,Phantom / Non-contact Vehicle,PHANTOM VEHICLE,PHANTOM,1,1,1,,2003-07-11T00:00:00,ISCO866
27,Inattention,INATTENTION,INATTENT,1,1,0,,2002-03-20T00:00:00,CONVERT
28,Non-Motorist Inattention,NON-MTRST INATTENT,NM INATT,1,1,0,,2014-10-09T08:49:01,hwye85p
29,Failed to avoid vehicle ahead,FAIL AVOID VEH AHEAD,F AVOID,1,1,0,,2014-08-19T12:55:12,hwye85p
30,Driving in excess of posted speed,EXCED POSTED SPEED,SPEED,1,1,0,,2006-05-19T11:21:06.040,isd849
31,Speed Racing (per PAR),SPEED RACING,RACING,1,1,0,,2006-05-19T11:21:34.943,isd849
32,Careless Driving (per PAR),CARELESS DRIVING,CARELESS,1,1,0,,2011-11-04T09:28:48.720,Hwye85p
33,Reckless Driving (per PAR),RECKLESS DRIVING,RECKLESS,1,1,0,,2011-11-04T09:28:49.267,Hwye85p
34,Aggressive Driving (per PAR),AGGRESSIVE DRIVING,AGGRESV,1,1,0,,2006-05-19T11:23:51.187,isd849
35,Road Rage (per PAR),ROAD RAGE,RD RAGE,1,0,0,,2006-05-19T11:24:23.483,isd849
40,View obscured,VIEW OBSCURED,VIEW OBS,1,1,0,,2014-08-19T12:47:00,hwye85p
50,Improper use of median or shoulder,IMP USE MEDIAN/SHLDR,USED MDN,1,1,0,,2014-08-19T12:49:06,hwye85p
51,Failed to maintain lane,F MAINT LANE,FAIL LN,0,0,0,2015-12-31T00:00:00,2018-03-07T11:56:28.123,Hwye85p
52,Ran off road,RAN OFF RD,OFF RD,0,0,0,2015-12-31T00:00:00,2018-03-07T11:56:28.127,Hwye85p
