FC_CD,FC_DESC,FC_START_YR_NO,FC_TERMNT_YR_NO,LAST_UD_DT,LAST_UD_USER_ID,FC_SHORT_DESC
1,RURAL PRINCIPAL ARTERIAL - INTERSTATE,1985,,2002-03-20T00:00:00,CONVERT,R INTRST
2,RURAL PRINCIPAL ARTERIAL - OTHER,1985,,2002-03-20T00:00:00,CONVERT,R PR-ART
6,RURAL MINOR ARTERIAL,1985,,2002-03-20T00:00:00,CONVERT,R MN-ART
7,RURAL MAJOR COLLECTOR,1985,,2002-03-20T00:00:00,CONVERT,R MJ-COL
8,RURAL MINOR COLLECTOR,1985,,2002-03-20T00:00:00,CONVERT,R MN-COL
9,RURAL LOCAL,1985,,2002-03-20T00:00:00,CONVERT,R LOCAL
11,URBAN PRINCIPAL ARTERIAL - INTERSTATE,1985,,2002-03-20T00:00:00,CONVERT,U INTRST
12,URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,1985,,2002-03-20T00:00:00,CONVERT,U FWY/XP
14,URBAN PRINCIPAL ARTERIAL - OTHER,1985,,2002-03-20T00:00:00,CONVERT,U PR-ART
16,URBAN MINOR ARTERIAL,1985,,2002-03-20T00:00:00,CONVERT,U MN-ART
17,URBAN MAJOR COLLECTOR,1985,,2016-02-03T12:35:38.333,Hwye85p,U MJ-COL
18,URBAN MINOR COLLECTOR,2015,,2016-02-03T12:38:29.583,Hwye85p,U MN-COL
19,URBAN LOCAL,1985,,2002-03-20T00:00:00,CONVERT,U LOCAL
78,UNKNOWN RURAL SYSTEM,1985,1996.0,2005-01-07T12:13:26.107,isco017,R UNK S
79,UNKNOWN RURAL NON-SYSTEM,1985,1996.0,2005-01-07T12:14:28.340,isco017,R UNK NS
98,UNKNOWN URBAN SYSTEM,1985,1996.0,2005-01-07T12:15:49.713,isco017,U UNK S
99,UNKNOWN URBAN NON-SYSTEM,1985,1996.0,2005-01-07T12:16:27.103,isco017,U UNK NS
