TRAF_CNTL_DEVICE_CD,TRAF_CNTL_DEVICE_LONG_DESC,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_DEVICE_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID
0,No control,NONE,,2002-03-20T00:00:00,CONVERT
1,Traffic Signals,TRF SIGNAL,,2002-03-20T00:00:00,CONVERT
2,Flashing Beacon - Red (Stop),FLASHBCN-R,,2002-03-20T00:00:00,CONVERT
3,Flashing Beacon - Amber (Slow),FLASHBCN-A,,2002-03-20T00:00:00,CONVERT
4,Stop Sign,STOP SIGN,,2002-03-20T00:00:00,CONVERT
5,Slow Sign,SLOW SIGN,,2002-03-20T00:00:00,CONVERT
6,Regulatory Sign,REG-SIGN,,2002-03-20T00:00:00,CONVERT
7,Yield Sign,YIELD,,2006-05-19T13:26:57.047,isd849
8,Warning Sign,WARNING,,2006-05-19T13:27:18.030,isd849
9,Curve Sign,CURVE,,2006-05-19T13:27:46.200,isd849
10,School Crossing Sign or Special Signal,SCHL X-ING,,2002-03-20T00:00:00,CONVERT
11,"Police Officer, Flagman - School Patrol",OFCR/FLAG,,2002-03-20T00:00:00,CONVERT
12,Bridge Gate - Barrier,BRDG-GATE,,2002-03-20T00:00:00,CONVERT
13,Temporary Barrier,TEMP-BARR,,2002-03-20T00:00:00,CONVERT
14,No Passing Zone,NO-PASS-ZN,,2002-03-20T00:00:00,CONVERT
15,One-way Street,ONE-WAY,,2002-03-20T00:00:00,CONVERT
16,Channelization,CHANNEL,,2002-03-20T00:00:00,CONVERT
17,Median Barrier,MEDIAN BAR,,2002-03-20T00:00:00,CONVERT
18,Pilot Car,PILOT CAR,,2002-03-20T00:00:00,CONVERT
19,Special Pedestrian Signal,SP PED SIG,,2002-03-20T00:00:00,CONVERT
20,Crossbuck,X-BUCK,,2002-03-20T00:00:00,CONVERT
21,Through Green Arrow or Signal,THR-GN-SIG,,2002-03-20T00:00:00,CONVERT
22,"Left Turn Green Arrow, Lane Markings, or Signal",L-GRN-SIG,,2002-03-20T00:00:00,CONVERT
23,"Right Turn Green Arrow, Lane Markings, or Signal",R-GRN-SIG,,2002-03-20T00:00:00,CONVERT
24,Wigwag or Flashing Lights W/O Drop-Arm Gate,WIGWAG,,2002-03-20T00:00:00,CONVERT
25,Crossbuck and Advance Warning,X-BUCK WRN,,2002-03-20T00:00:00,CONVERT
26,Flashing Lights with Drop-Arm Gates,WW W/ GATE,,2002-03-20T00:00:00,CONVERT
27,Supplemental Overhead Signal (RR xing only),OVRHD SGNL,,2002-03-20T00:00:00,CONVERT
28,Special RR Stop Sign,SP RR STOP,,2002-03-20T00:00:00,CONVERT
29,Illuminated Grade Crossing,ILUM GRD X,,2002-03-20T00:00:00,CONVERT
37,Metered Ramps,RAMP METER,,2002-03-20T00:00:00,CONVERT
38,Rumble Strip,RUMBLE STR,,2006-05-19T15:21:10.933,isd849
40,Automated Flagger Assistance Device,AUTO. FLAG,,2021-11-02T14:29:07.843,hwye85p
90,Left Turn Refuge (when refuge is involved),L-TURN REF,,2002-03-20T00:00:00,CONVERT
91,"Right Turn at all times sign, etc.",R-TURN ALL,,2002-03-20T00:00:00,CONVERT
92,Emergency Signs or Flares,EMR SGN/FL,,2002-03-20T00:00:00,CONVERT
93,Acceleration or Deceleration Lanes,ACCEL LANE,,2002-03-20T00:00:00,CONVERT
94,Right Turn Prohibited on Red After Stopping,R-TURN PRO,,2002-03-20T00:00:00,CONVERT
95,Bus Stop sign and red lights,BUS STPSGN,,2002-03-20T00:00:00,CONVERT
99,Unknown or not definite,UNKNOWN,,2002-03-20T00:00:00,CONVERT
